"filename", "language", "Markdown", "YAML", "Dart", "Gradle", "Java Properties", "Swift", "XML", "C++", "JSON", "JavaScript", "CMake", "Java", "HTML", "comment", "blank", "total"
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 123
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/lib/constants/custom_colors.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 30
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/lib/constants/custom_theme.dart", "Dart", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 88
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/lib/constants/error_handling.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/vanshah/Documents/flutter-projects/eventQuest/EventQuest/lib/constants/global_variable.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
